source_type,source_id,target_type,target_id,is_match,fg_legacy_name_match_score,fg_legacy_speciality_match
gpo,12522556,pm,3916252,False,71.91,0
gpo,12865879,pm,3189542,False,62.91,0
gpo,12865879,pm,3189542,False,62.91,0
gpo,12865879,pm,3189542,False,62.91,0
gpo,12688992,pm,653519,False,79.43,0
gpo,12688992,pm,653519,False,75.91,0
gpo,12688992,pm,653519,False,79.43,0
gpo,12641196,pm,4837422,False,77.02,0
gpo,12641196,pm,4837422,False,77.02,0
gpo,12641196,pm,4837422,False,77.02,0
gpo,12579704,pm,174351,False,72.73,0
gpo,12678044,pm,4080038,False,70.0,0
gpo,12791784,pm,611024,False,65.28,0
gpo,12791784,pm,611024,False,65.28,0
gpo,12791784,pm,611024,False,65.28,0
gpo,12513337,pm,3922556,True,84.87,0
gpo,12513337,pm,3922556,True,84.87,0
gpo,12513337,pm,3922556,True,84.87,0
gpo,12790158,pm,24221,False,61.6,0
gpo,12790158,pm,24221,False,61.6,0
gpo,12790158,pm,24221,False,61.6,0
gpo,12641310,pm,3634328,False,70.35,0
gpo,12847511,pm,957899,False,72.73,0
gpo,12667458,pm,1840185,False,70.71,0
gpo,12870109,pm,1386536,True,81.54,0
gpo,12433327,pm,380912,False,73.54,0
gpo,12577435,pm,3312569,False,64.98,0
gpo,12577435,pm,3312569,False,64.98,0
gpo,12577435,pm,3312569,False,64.19,0
gpo,12515143,pm,1610039,False,71.71,0
gpo,12515143,pm,1610039,False,71.71,0
gpo,12515143,pm,1610039,False,71.71,0
gpo,12571934,pm,2926602,False,56.1,0
gpo,12571934,pm,2926602,False,56.1,0
gpo,12571934,pm,2926602,False,56.1,0
gpo,12402133,pm,4848621,False,70.16,0
gpo,9314406,pm,444353,True,81.25,0
gpo,9314406,pm,444353,True,81.25,0
gpo,12757489,pm,1106149,False,72.61,0
gpo,12757489,pm,1106149,False,72.61,0
gpo,12757489,pm,1106149,False,72.61,0
gpo,12777370,pm,3112943,False,61.12,0
gpo,12777370,pm,3112943,False,61.12,0
gpo,12777370,pm,3112943,False,61.12,0
gpo,12780837,pm,1027236,False,70.09,0
gpo,12857593,pm,838767,True,81.25,0
gpo,12903552,pm,1508749,False,65.56,0
gpo,12903552,pm,1508749,False,65.56,0
gpo,12903552,pm,1508749,False,65.97,0
gpo,12692041,pm,620770,True,85.81,0
gpo,12692041,pm,620770,True,85.81,0
gpo,12692041,pm,620770,True,85.81,0
gpo,12531852,pm,337108,True,85.81,0
gpo,12531852,pm,337108,True,85.81,0
gpo,12531852,pm,337108,True,85.81,0
gpo,12664573,pm,3385875,False,75.38,0
gpo,12664573,pm,3385875,False,75.38,0
gpo,12380620,pm,1845393,False,70.02,0
gpo,12380620,pm,1845393,False,70.02,0
gpo,12380620,pm,1845393,False,70.02,0
gpo,12860913,pm,1642842,False,79.39,0
